Portfolio,Owner,Instrument,Date,Price
Finanz Informatik,SimCorp,Swap,18/07/2018 17:54:49,14.95
BNP Paribas,Walmart,Options,24/06/2018 16:09:09,430.10
Fannie Mae,Samsung,CDS,03/01/2018 15:50:17,93.71
Bank of America,SimCorp,CDS,15/01/2018 03:13:28,354.53
Deutsche Bank,Microsoft,Bond,09/06/2018 12:23:37,240.31
Barclays,Apple,CDS,06/01/2018 12:48:51,206.88
UOB,Walmart,Swap,02/05/2018 14:57:29,488.49
Barclays,Toyota,Loan,09/07/2018 22:47:13,710.42
Finanz Informatik,Google,Deposit,27/06/2018 12:45:40,467.54
Finanz Informatik,Amazon,Swap,10/10/2018 03:19:42,96.45
Bank of America,Ford,CDS,27/09/2018 18:42:08,338.48
Deutsche Bank,Walmart,Bond,20/12/2018 15:48:34,235.29
UOB,Microsoft,Options,11/12/2018 02:41:31,239.49
Bank of America,Apple,Deposit,01/01/2018 09:34:06,63.52
UOB,Walmart,Swap,09/08/2018 17:18:03,128.08
Finanz Informatik,Toyota,Loan,26/11/2018 07:17:42,83.65
BNP Paribas,Google,Swap,19/07/2018 15:50:01,312.54
BNP Paribas,Toyota,Bond,22/03/2018 05:20:59,374.06
UOB,Walmart,Futures,26/07/2018 20:47:51,444.65
BNP Paribas,Samsung,CDS,04/08/2018 14:43:26,122.34
State Bank of India,Microsoft,Bond,18/10/2018 14:40:06,698.77
State Bank of India,Microsoft,Bond,03/09/2018 10:47:23,90.65
UOB,Ford,Deposit,07/03/2018 06:58:29,512.57
Barclays,Samsung,Bond,22/12/2018 12:33:37,22.16
Fannie Mae,Toyota,CDS,22/06/2018 19:47:03,345.15
UOB,Amazon,Deposit,25/02/2018 22:26:53,371.28
Bank of America,Google,Bond,06/12/2018 02:17:07,241.89
UOB,Google,Futures,19/04/2018 03:15:23,605.82
Barclays,Ford,Swap,11/05/2018 04:05:51,216.73
BNP Paribas,Toyota,Bond,20/07/2018 23:41:47,78.52
Bank of America,Toyota,Bond,25/11/2018 15:52:31,188.38
Deutsche Bank,Apple,Futures,27/02/2018 16:13:38,393.95
State Bank of India,Amazon,Bond,16/02/2018 04:06:56,94.36
Barclays,SimCorp,Equity,26/09/2018 18:50:06,430.79
Finanz Informatik,Walmart,Loan,05/05/2018 01:14:57,365.01
UOB,Apple,Equity,21/03/2018 03:40:59,70.52
Bank of America,Ford,Swap,09/11/2018 06:55:43,254.13
UOB,Apple,Equity,23/11/2018 10:06:39,52.38
State Bank of India,Google,Loan,26/08/2018 10:16:56,545.49
BNP Paribas,Samsung,Deposit,05/10/2018 08:40:29,6.10
BNP Paribas,SimCorp,Deposit,06/05/2018 16:54:19,63.76
BNP Paribas,Apple,Bond,22/10/2018 10:35:19,141.74
State Bank of India,Ford,CDS,03/05/2018 01:21:22,857.33
UOB,Walmart,Options,12/01/2018 10:22:56,366.92
Barclays,Ford,Options,23/09/2018 02:48:55,130.25
Deutsche Bank,Amazon,Options,28/03/2018 03:48:23,24.07
Finanz Informatik,SimCorp,Options,15/12/2018 10:26:01,80.15
BNP Paribas,Walmart,Swap,12/09/2018 01:25:59,159.32
Fannie Mae,Amazon,Loan,21/12/2018 10:04:25,68.53
Bank of America,Ford,CDS,27/03/2018 22:21:37,16.12
Deutsche Bank,Samsung,Options,19/09/2018 03:28:50,83.62
Deutsche Bank,Samsung,Deposit,28/04/2018 21:13:37,744.13
Finanz Informatik,Apple,Swap,20/02/2018 03:01:40,44.80
Deutsche Bank,Samsung,Deposit,11/03/2018 10:54:37,391.09
State Bank of India,Google,CDS,17/01/2018 19:12:21,206.65
Deutsche Bank,Toyota,Futures,01/01/2018 15:49:25,38.36
BNP Paribas,Samsung,Bond,10/04/2018 21:01:35,616.77
State Bank of India,Walmart,Loan,05/08/2018 04:21:54,562.68
State Bank of India,Walmart,Futures,21/09/2018 22:24:44,477.63
Bank of America,SimCorp,CDS,15/09/2018 04:08:22,147.30
UOB,Walmart,Futures,03/09/2018 04:25:48,525.92
Finanz Informatik,Ford,Swap,19/02/2018 11:22:23,783.44
Bank of America,Microsoft,Futures,28/03/2018 12:57:34,263.46
BNP Paribas,Ford,Equity,03/11/2018 07:14:44,7.81
Bank of America,Walmart,Deposit,12/05/2018 16:36:32,384.32
UOB,Toyota,Deposit,05/05/2018 12:14:14,11.50
Fannie Mae,Samsung,CDS,23/11/2018 08:45:03,457.00
Fannie Mae,Walmart,Deposit,26/12/2018 21:27:03,2.61
State Bank of India,Amazon,Options,07/12/2018 07:12:49,281.69
BNP Paribas,Apple,Bond,12/01/2018 15:52:56,415.21
State Bank of India,Walmart,Options,25/09/2018 04:57:48,91.55
BNP Paribas,Google,Futures,21/06/2018 17:21:45,150.67
Fannie Mae,Ford,Loan,09/06/2018 05:35:46,381.82
BNP Paribas,SimCorp,Options,10/09/2018 08:55:49,189.70
Finanz Informatik,Amazon,Futures,15/05/2018 21:35:36,14.25
Finanz Informatik,Google,Loan,27/12/2018 01:12:06,202.12
Bank of America,Google,Equity,07/03/2018 14:40:42,261.90
UOB,SimCorp,CDS,06/08/2018 18:32:57,40.46
Deutsche Bank,Ford,Futures,28/11/2018 22:14:31,453.57
BNP Paribas,Samsung,Futures,14/06/2018 04:10:13,299.11
Fannie Mae,Samsung,Options,24/11/2018 18:28:39,155.48
Barclays,Microsoft,Equity,02/12/2018 14:43:20,232.67
Finanz Informatik,Google,Swap,09/10/2018 23:05:14,81.23
Bank of America,Microsoft,Deposit,07/12/2018 18:29:36,22.63
Barclays,Walmart,CDS,24/07/2018 21:40:31,14.20
Barclays,Samsung,Swap,17/11/2018 02:54:45,344.81
Deutsche Bank,Microsoft,Futures,18/10/2018 04:26:10,508.79
BNP Paribas,Google,Loan,24/01/2018 18:26:24,251.48
Finanz Informatik,Walmart,Deposit,18/04/2018 18:20:56,436.19
UOB,Toyota,Bond,15/03/2018 06:05:57,98.52
Barclays,SimCorp,Deposit,22/02/2018 07:32:59,674.24
Bank of America,SimCorp,Deposit,15/02/2018 03:25:13,1.24
UOB,SimCorp,Deposit,13/07/2018 09:07:06,110.26
Deutsche Bank,SimCorp,Futures,28/03/2018 20:47:43,320.82
Fannie Mae,Amazon,Swap,16/07/2018 08:52:51,207.13
UOB,Samsung,Deposit,25/01/2018 22:43:15,325.54
Fannie Mae,SimCorp,Options,05/05/2018 04:03:37,295.69
Finanz Informatik,Toyota,CDS,18/10/2018 12:33:13,127.85
Bank of America,Microsoft,Futures,24/01/2018 19:40:23,1.55
BNP Paribas,SimCorp,Bond,05/02/2018 18:50:35,50.49
Finanz Informatik,Microsoft,CDS,04/12/2018 03:10:02,191.81
Barclays,SimCorp,Equity,25/07/2018 22:02:28,208.09
Barclays,Walmart,Loan,17/02/2018 18:38:34,224.18
Deutsche Bank,Ford,Deposit,23/08/2018 06:35:27,547.77
Deutsche Bank,Walmart,Swap,19/12/2018 14:18:29,681.83
Deutsche Bank,Amazon,Bond,27/01/2018 15:59:33,80.62
Barclays,Walmart,Futures,21/08/2018 10:43:38,157.58
Finanz Informatik,Walmart,Options,20/11/2018 20:44:19,501.24
Barclays,Google,Loan,03/05/2018 07:56:44,460.71
Finanz Informatik,Apple,Bond,06/08/2018 01:14:19,170.06
UOB,Walmart,CDS,25/08/2018 04:51:12,69.99
State Bank of India,Toyota,Bond,24/05/2018 09:18:59,69.18
Barclays,Ford,Swap,10/08/2018 07:33:55,270.29
Bank of America,Amazon,Bond,04/03/2018 19:26:39,455.67
Barclays,Toyota,Futures,08/07/2018 14:57:38,504.32
Deutsche Bank,Microsoft,Deposit,23/09/2018 21:41:08,656.72
Bank of America,Ford,Options,15/09/2018 11:35:52,185.49
State Bank of India,Walmart,Futures,02/07/2018 17:36:26,35.43
Finanz Informatik,Ford,Equity,27/10/2018 08:37:22,243.58
Fannie Mae,Microsoft,Loan,10/12/2018 12:13:42,139.18
BNP Paribas,Apple,Loan,27/09/2018 02:47:15,26.69
Finanz Informatik,Microsoft,Deposit,08/07/2018 16:46:45,108.90
UOB,Google,Futures,26/01/2018 15:18:31,184.95
Bank of America,Ford,Futures,22/07/2018 06:33:26,123.02
Bank of America,Amazon,CDS,28/05/2018 21:29:49,752.45
Deutsche Bank,SimCorp,Swap,27/11/2018 19:39:20,479.17
UOB,Microsoft,Bond,16/02/2018 09:51:19,325.57
Fannie Mae,Amazon,Swap,18/11/2018 11:32:06,88.47
BNP Paribas,SimCorp,Deposit,25/07/2018 02:55:32,4.09
Bank of America,Microsoft,Options,03/07/2018 07:20:35,541.04
BNP Paribas,Google,Bond,16/09/2018 09:34:06,528.03
Finanz Informatik,Walmart,Loan,06/10/2018 08:26:31,130.23
Barclays,Microsoft,CDS,13/10/2018 21:45:21,128.57
Fannie Mae,Ford,Loan,28/05/2018 22:26:10,315.99
Barclays,Samsung,Loan,20/02/2018 01:56:46,552.58
UOB,Samsung,Loan,05/04/2018 17:26:14,267.74
Bank of America,Google,Loan,10/12/2018 08:17:52,160.41
State Bank of India,Microsoft,Options,28/09/2018 15:02:39,274.36
State Bank of India,Ford,Bond,14/01/2018 08:36:58,59.18
Bank of America,Google,Swap,26/05/2018 07:31:22,78.69
Deutsche Bank,Apple,Swap,25/02/2018 14:18:37,333.56
Deutsche Bank,Toyota,Bond,20/10/2018 14:12:16,187.67
Deutsche Bank,Microsoft,CDS,21/08/2018 16:20:10,445.56
BNP Paribas,Walmart,Swap,19/10/2018 21:05:55,602.21
BNP Paribas,Ford,CDS,16/09/2018 18:06:07,144.43
BNP Paribas,Microsoft,Swap,19/10/2018 11:26:20,247.67
Finanz Informatik,Google,Deposit,13/08/2018 01:53:21,95.73
Bank of America,Microsoft,Bond,28/07/2018 17:38:56,133.03
Bank of America,Microsoft,Futures,18/07/2018 20:44:07,39.43
Barclays,Toyota,Options,18/12/2018 21:12:03,31.61
UOB,Toyota,Swap,22/11/2018 19:09:21,141.88
UOB,SimCorp,Loan,17/05/2018 01:38:17,744.30
Finanz Informatik,Toyota,Equity,10/12/2018 19:44:08,621.67
Bank of America,Walmart,CDS,04/07/2018 20:17:37,153.35
Deutsche Bank,Amazon,Loan,12/03/2018 23:27:10,634.34
Finanz Informatik,Ford,Bond,06/09/2018 02:30:59,255.44
BNP Paribas,Apple,Futures,11/09/2018 06:48:45,536.35
Deutsche Bank,Apple,Options,25/03/2018 22:29:03,205.24
Finanz Informatik,Walmart,CDS,23/05/2018 15:32:02,224.11
Finanz Informatik,Microsoft,Bond,21/10/2018 16:58:34,39.38
Fannie Mae,Toyota,Swap,24/09/2018 06:24:52,227.55
Bank of America,SimCorp,Futures,18/03/2018 12:19:03,283.08
Deutsche Bank,Samsung,Futures,10/04/2018 11:57:43,702.42
State Bank of India,Ford,Equity,06/05/2018 15:41:01,124.11
Fannie Mae,Walmart,Equity,12/01/2018 22:50:51,322.52
Finanz Informatik,Ford,CDS,15/02/2018 09:16:38,56.01
Finanz Informatik,Toyota,Futures,10/07/2018 16:15:07,162.04
UOB,Microsoft,Options,14/05/2018 01:33:24,18.18
Bank of America,Apple,Options,24/03/2018 01:17:07,402.61
Barclays,Apple,CDS,09/02/2018 13:14:39,677.19
Deutsche Bank,Toyota,Deposit,12/03/2018 02:25:17,511.63
UOB,Samsung,Deposit,22/12/2018 04:09:15,330.70
Barclays,Google,Loan,17/03/2018 18:39:23,301.81
UOB,Ford,CDS,21/02/2018 21:16:20,47.91
Bank of America,Apple,Futures,27/05/2018 13:16:42,631.40
Barclays,Ford,Swap,09/05/2018 13:27:37,83.65
Barclays,Apple,Equity,20/08/2018 22:09:40,426.24
State Bank of India,Samsung,Futures,22/12/2018 10:38:56,173.68
Bank of America,Ford,Bond,16/11/2018 19:59:23,41.69
Barclays,Walmart,CDS,12/02/2018 13:47:50,225.36
Barclays,Walmart,Options,08/06/2018 14:30:59,79.59
State Bank of India,SimCorp,Loan,05/07/2018 11:01:19,530.39
State Bank of India,Toyota,Deposit,13/12/2018 06:06:22,83.82
Bank of America,Samsung,Loan,20/03/2018 21:26:32,147.04
Finanz Informatik,Ford,Deposit,09/11/2018 22:19:10,637.71
Bank of America,SimCorp,Deposit,03/10/2018 15:43:31,914.79
Barclays,Google,Futures,09/05/2018 03:12:07,5.07
BNP Paribas,SimCorp,CDS,16/02/2018 22:56:59,281.54
State Bank of India,Ford,Futures,19/07/2018 04:03:32,380.42
Fannie Mae,Ford,Futures,14/08/2018 05:31:27,23.95
Deutsche Bank,Google,Loan,27/09/2018 02:48:38,141.93
Deutsche Bank,Toyota,Deposit,03/07/2018 14:42:54,47.89
BNP Paribas,Toyota,Swap,02/10/2018 03:58:03,181.08
Barclays,SimCorp,Futures,21/07/2018 17:37:43,254.34
Finanz Informatik,Amazon,Loan,11/01/2018 11:06:56,377.06
Barclays,Walmart,CDS,03/05/2018 02:16:29,504.98
BNP Paribas,Toyota,Bond,20/11/2018 04:19:17,552.14
State Bank of India,Ford,Loan,24/02/2018 16:22:54,346.66
BNP Paribas,Apple,Futures,24/09/2018 19:47:01,274.51
Barclays,Google,Bond,13/10/2018 14:24:25,322.16
Fannie Mae,Samsung,Equity,28/03/2018 12:20:34,96.28
Deutsche Bank,Amazon,Bond,23/01/2018 03:17:18,260.60
Barclays,Microsoft,Deposit,26/02/2018 19:55:30,41.46
Finanz Informatik,Ford,Options,13/03/2018 05:53:19,229.96
Barclays,Google,Futures,27/01/2018 03:06:01,287.53
Finanz Informatik,Apple,Loan,23/06/2018 20:59:59,404.67
Bank of America,Samsung,Deposit,04/04/2018 18:46:49,75.96
Fannie Mae,Ford,Options,11/09/2018 05:51:45,407.71
Deutsche Bank,Ford,Options,27/05/2018 05:34:07,152.99
Fannie Mae,Ford,Bond,21/07/2018 16:21:07,257.80
Finanz Informatik,Microsoft,Futures,05/05/2018 08:32:39,241.99
BNP Paribas,Microsoft,Deposit,14/07/2018 16:18:31,51.57
Fannie Mae,Walmart,Futures,11/01/2018 08:55:03,349.91
UOB,Toyota,Deposit,12/01/2018 10:32:11,728.70
Deutsche Bank,Ford,Bond,17/10/2018 23:06:31,131.65
Finanz Informatik,Samsung,CDS,27/01/2018 17:53:20,6.40
Barclays,SimCorp,CDS,23/05/2018 06:27:46,826.96
Fannie Mae,Google,Loan,08/10/2018 08:37:36,17.90
Fannie Mae,Amazon,Swap,10/11/2018 23:01:45,225.46
Bank of America,Google,Equity,06/05/2018 04:13:41,51.09
Bank of America,Microsoft,Futures,27/12/2018 06:32:58,378.60
BNP Paribas,Microsoft,Deposit,18/07/2018 01:30:47,520.03
Finanz Informatik,Toyota,CDS,17/05/2018 21:54:56,818.78
BNP Paribas,Ford,Options,25/03/2018 21:59:03,114.70
Barclays,Apple,Swap,18/06/2018 06:23:39,188.63
Deutsche Bank,Amazon,CDS,02/03/2018 20:36:02,204.10
Finanz Informatik,Walmart,Futures,16/08/2018 04:40:40,49.44
BNP Paribas,Amazon,Deposit,10/11/2018 06:41:17,519.66
Bank of America,Microsoft,Equity,13/05/2018 16:16:25,306.22
Finanz Informatik,Ford,CDS,22/11/2018 20:38:21,11.71
Bank of America,Toyota,Swap,06/01/2018 06:35:47,471.23
Fannie Mae,Microsoft,Loan,14/01/2018 02:23:02,727.99
UOB,Microsoft,Options,13/09/2018 02:46:55,183.64
Bank of America,Amazon,Futures,22/04/2018 20:18:12,59.27
BNP Paribas,SimCorp,Options,24/04/2018 23:41:38,56.81
Barclays,Walmart,Equity,18/12/2018 08:09:17,301.83
Barclays,Walmart,CDS,08/05/2018 19:54:01,126.97
UOB,Google,Deposit,23/12/2018 10:41:17,186.27
Finanz Informatik,Google,Options,28/05/2018 23:13:27,433.48
Deutsche Bank,Apple,Options,22/01/2018 10:47:12,332.26
BNP Paribas,Toyota,Loan,26/09/2018 07:46:10,2.49
Deutsche Bank,Samsung,Futures,22/02/2018 08:09:16,43.54
Bank of America,SimCorp,Loan,28/10/2018 18:35:47,133.15
Bank of America,SimCorp,Loan,11/10/2018 16:46:46,93.59
Fannie Mae,Apple,Loan,24/06/2018 20:35:30,362.55
Finanz Informatik,SimCorp,Deposit,12/10/2018 15:20:34,148.24
Deutsche Bank,Ford,Swap,17/09/2018 04:35:37,183.32
Bank of America,Amazon,Deposit,02/09/2018 14:10:55,126.03
Fannie Mae,Apple,Futures,04/09/2018 03:41:31,230.04
Finanz Informatik,Google,Bond,28/05/2018 06:05:33,333.01
Fannie Mae,Ford,Deposit,26/03/2018 21:45:07,602.84
Barclays,Amazon,Options,28/08/2018 15:30:13,587.38
Barclays,Apple,Equity,21/12/2018 08:22:26,351.51
Barclays,Walmart,Bond,26/04/2018 05:19:17,594.38
Finanz Informatik,Walmart,Deposit,09/07/2018 23:38:23,235.86
Deutsche Bank,Samsung,Swap,07/04/2018 04:46:48,155.03
Bank of America,Microsoft,Futures,10/11/2018 20:19:18,299.10
Finanz Informatik,Google,Futures,05/06/2018 20:15:37,554.49
Deutsche Bank,Ford,Bond,03/05/2018 15:41:45,505.62
Barclays,SimCorp,Deposit,19/04/2018 01:10:58,32.13
Deutsche Bank,Amazon,CDS,02/08/2018 13:29:29,118.96
State Bank of India,Google,Equity,25/09/2018 13:16:05,71.57
Fannie Mae,Walmart,Loan,10/12/2018 19:24:08,568.13
Deutsche Bank,Microsoft,Futures,04/03/2018 09:18:27,185.48
Fannie Mae,Google,Options,24/08/2018 07:20:05,183.63
Deutsche Bank,Apple,Equity,08/07/2018 02:05:43,74.34
BNP Paribas,Amazon,CDS,20/01/2018 15:47:59,85.09
Finanz Informatik,Samsung,Deposit,17/03/2018 23:57:36,320.51
Barclays,Microsoft,CDS,12/09/2018 14:04:52,20.91
Finanz Informatik,Walmart,Equity,14/01/2018 18:29:36,125.13
Barclays,Amazon,Futures,24/11/2018 22:19:04,254.77
BNP Paribas,SimCorp,Options,21/03/2018 19:38:03,335.86
Bank of America,Ford,Bond,06/07/2018 16:37:43,101.84
Barclays,Amazon,CDS,17/12/2018 04:49:50,603.04
Finanz Informatik,Ford,Swap,26/08/2018 19:01:58,432.06
BNP Paribas,Amazon,Bond,17/11/2018 14:16:56,219.73
Finanz Informatik,Walmart,Loan,23/01/2018 18:51:38,180.82
State Bank of India,Samsung,Equity,22/02/2018 14:56:29,410.48
Deutsche Bank,Walmart,Futures,21/01/2018 02:22:44,284.93
State Bank of India,Samsung,Equity,05/08/2018 17:39:55,41.09
State Bank of India,Amazon,Loan,20/09/2018 08:13:52,198.78
Deutsche Bank,Samsung,Loan,15/04/2018 16:11:20,110.13
Barclays,Google,Loan,21/08/2018 02:40:34,256.44
State Bank of India,Apple,CDS,13/06/2018 07:20:42,149.22
UOB,SimCorp,CDS,11/05/2018 03:34:49,149.43
Bank of America,Microsoft,Options,22/01/2018 19:07:43,77.08
Deutsche Bank,Walmart,Swap,02/01/2018 15:06:51,644.47
Finanz Informatik,SimCorp,Bond,26/12/2018 21:30:54,251.79
Bank of America,Samsung,Futures,15/06/2018 15:25:38,156.85
Fannie Mae,Walmart,CDS,22/09/2018 06:34:35,456.02
State Bank of India,Toyota,Swap,05/12/2018 02:19:40,250.26
Finanz Informatik,Google,Futures,04/05/2018 19:12:28,132.53
Fannie Mae,SimCorp,Equity,02/03/2018 17:44:18,252.79
Finanz Informatik,Ford,Options,18/06/2018 19:52:31,121.34
Finanz Informatik,Toyota,Futures,10/10/2018 23:09:24,141.71
BNP Paribas,Apple,Bond,17/11/2018 13:31:46,570.42
Finanz Informatik,Apple,Futures,16/06/2018 10:37:01,459.29
State Bank of India,Toyota,Equity,04/01/2018 10:57:23,256.37
Bank of America,Amazon,CDS,19/03/2018 06:52:41,142.06
Finanz Informatik,Google,CDS,04/10/2018 07:16:02,164.67
Finanz Informatik,Google,CDS,02/04/2018 08:55:58,235.17
Bank of America,Google,Swap,25/10/2018 23:19:17,183.28
Bank of America,Ford,Equity,01/08/2018 19:04:22,314.19
Fannie Mae,Ford,Equity,21/12/2018 11:39:25,800.13
Finanz Informatik,Ford,Swap,15/09/2018 04:14:49,64.21
State Bank of India,Ford,Equity,12/12/2018 10:59:06,206.13
Finanz Informatik,Walmart,Bond,28/12/2018 15:59:55,90.43
Finanz Informatik,Samsung,Bond,01/07/2018 15:02:24,45.20
Bank of America,Microsoft,Futures,24/10/2018 05:44:12,73.39
Barclays,Walmart,Equity,01/12/2018 18:52:57,213.85
Fannie Mae,Microsoft,CDS,23/06/2018 03:52:42,661.47
Barclays,Walmart,Bond,19/06/2018 02:07:13,734.79
State Bank of India,Samsung,Loan,28/10/2018 18:46:11,101.95
UOB,Apple,CDS,19/03/2018 06:31:57,160.42
Finanz Informatik,Apple,Loan,27/10/2018 21:34:40,6.44
Deutsche Bank,Toyota,Deposit,28/12/2018 09:57:56,268.36
Finanz Informatik,Toyota,Equity,01/08/2018 08:54:48,70.04
Bank of America,Google,Equity,15/05/2018 20:30:35,370.56
Fannie Mae,Apple,Swap,18/06/2018 02:15:44,139.87
Finanz Informatik,Walmart,Futures,12/12/2018 15:48:38,77.79
State Bank of India,Toyota,Swap,13/11/2018 12:28:27,500.25
State Bank of India,Amazon,Bond,24/06/2018 06:46:45,86.12
BNP Paribas,Google,Options,04/07/2018 23:42:14,8.09
BNP Paribas,Samsung,Deposit,03/03/2018 11:13:03,889.04
Bank of America,Samsung,Loan,12/02/2018 21:28:01,6.54
UOB,Apple,Options,16/10/2018 19:12:22,33.07
UOB,Microsoft,Futures,02/07/2018 01:34:53,396.57
BNP Paribas,Toyota,CDS,10/11/2018 07:51:28,157.26
Bank of America,Toyota,Bond,02/10/2018 01:16:59,35.47
Finanz Informatik,Samsung,Loan,11/07/2018 09:20:48,241.52
Finanz Informatik,Walmart,CDS,04/09/2018 03:19:46,19.17
State Bank of India,Toyota,Equity,28/07/2018 03:09:39,168.65
Deutsche Bank,Walmart,Equity,04/01/2018 05:25:11,64.55
State Bank of India,Apple,Futures,25/09/2018 22:02:21,457.46
Deutsche Bank,SimCorp,Options,10/05/2018 13:36:47,654.17
Fannie Mae,Toyota,Loan,19/12/2018 18:22:36,203.08
Deutsche Bank,Google,Loan,10/07/2018 21:18:31,577.65
BNP Paribas,Samsung,Swap,10/07/2018 07:05:48,82.47
Bank of America,Walmart,Options,22/03/2018 07:41:26,467.69
Bank of America,Amazon,CDS,08/09/2018 14:11:58,17.22
Fannie Mae,Apple,Equity,07/07/2018 10:42:51,38.26
Deutsche Bank,SimCorp,Swap,11/12/2018 02:31:07,286.05
Fannie Mae,Samsung,Futures,13/07/2018 15:04:14,108.42
BNP Paribas,Apple,CDS,11/04/2018 12:30:05,193.14
Bank of America,Samsung,Deposit,13/09/2018 01:33:45,396.24
BNP Paribas,Apple,Equity,06/01/2018 09:39:37,103.51
Finanz Informatik,SimCorp,Options,09/11/2018 14:49:35,53.75
Bank of America,SimCorp,Equity,14/06/2018 09:05:44,567.21
BNP Paribas,Microsoft,Swap,21/01/2018 01:52:42,42.74
UOB,Ford,Swap,28/05/2018 03:14:55,86.22
Fannie Mae,Ford,Bond,19/06/2018 14:55:47,343.09
Finanz Informatik,Ford,Options,14/08/2018 02:35:35,468.17
Deutsche Bank,Google,Futures,03/08/2018 15:28:45,47.64
Fannie Mae,Google,Loan,07/04/2018 03:11:26,198.48
BNP Paribas,Apple,Equity,20/04/2018 21:22:20,77.11
Barclays,Walmart,Deposit,03/02/2018 02:28:30,842.71
Fannie Mae,Google,Loan,20/02/2018 04:36:16,44.78
State Bank of India,Google,Equity,06/01/2018 15:58:15,186.13
Finanz Informatik,Google,Deposit,25/07/2018 12:23:12,245.84
Deutsche Bank,Toyota,Bond,28/04/2018 22:44:58,33.86
Finanz Informatik,Apple,Swap,02/07/2018 08:25:46,345.58
BNP Paribas,Microsoft,Options,21/03/2018 23:20:50,486.76
UOB,Amazon,Bond,21/04/2018 05:08:53,72.98
State Bank of India,Ford,CDS,25/05/2018 05:15:19,2.12
BNP Paribas,Walmart,Loan,01/09/2018 10:08:51,275.15
Bank of America,Ford,CDS,23/05/2018 21:58:36,60.59
Fannie Mae,SimCorp,Deposit,17/08/2018 03:34:12,714.93
UOB,Apple,Futures,03/09/2018 04:08:26,179.55
BNP Paribas,Microsoft,Loan,20/01/2018 23:17:17,95.55
Fannie Mae,Walmart,Options,10/08/2018 13:49:36,567.28
UOB,Ford,Options,08/01/2018 14:32:59,97.77
UOB,SimCorp,Loan,23/07/2018 22:14:46,192.15
UOB,Microsoft,Options,09/04/2018 03:30:47,618.64
Finanz Informatik,SimCorp,Loan,12/05/2018 04:44:14,217.30
Barclays,Microsoft,Swap,07/12/2018 16:18:58,142.47
Finanz Informatik,Apple,CDS,03/07/2018 14:18:14,377.03
BNP Paribas,Toyota,Options,09/09/2018 06:13:58,167.40
Fannie Mae,Ford,Bond,05/11/2018 13:17:41,70.76
UOB,SimCorp,Swap,06/12/2018 07:53:49,54.31
UOB,SimCorp,Futures,01/08/2018 16:40:15,240.00
Barclays,Microsoft,Deposit,06/02/2018 08:03:46,620.38
Finanz Informatik,Walmart,Equity,10/02/2018 13:46:39,209.10
Finanz Informatik,Amazon,CDS,23/04/2018 17:30:24,64.55
UOB,Apple,Bond,05/02/2018 12:39:49,446.91
Fannie Mae,Google,Futures,15/09/2018 06:21:23,662.76
State Bank of India,Apple,CDS,18/08/2018 03:37:36,142.70
UOB,Walmart,Swap,20/11/2018 07:33:04,197.69
State Bank of India,Ford,Swap,23/09/2018 06:55:57,833.59
Finanz Informatik,Google,Bond,16/05/2018 20:19:28,447.94
UOB,Apple,Futures,01/04/2018 14:13:34,66.62
Deutsche Bank,Microsoft,Futures,15/06/2018 22:07:03,20.08
Fannie Mae,Toyota,Deposit,05/10/2018 17:31:30,363.24
State Bank of India,Apple,Options,28/12/2018 21:30:38,283.51
BNP Paribas,Amazon,Swap,25/06/2018 02:42:41,179.24
Deutsche Bank,Microsoft,CDS,25/02/2018 05:11:39,571.48
BNP Paribas,Toyota,Equity,09/03/2018 14:43:30,41.61
Barclays,SimCorp,Futures,10/08/2018 20:46:23,309.51
BNP Paribas,Samsung,Options,04/09/2018 17:27:30,167.37
Deutsche Bank,Samsung,Options,04/05/2018 08:07:40,42.47
Finanz Informatik,Google,Equity,05/03/2018 06:51:02,65.35
Barclays,Samsung,CDS,08/01/2018 06:06:32,94.90
Fannie Mae,Google,Futures,28/08/2018 14:56:02,63.96
Deutsche Bank,Apple,Equity,22/08/2018 19:36:25,70.64
UOB,Amazon,Deposit,11/01/2018 21:07:30,473.39
Fannie Mae,Walmart,Options,04/08/2018 03:46:36,86.63
Finanz Informatik,Samsung,Options,09/09/2018 08:35:06,148.72
Bank of America,Toyota,Swap,21/03/2018 17:27:26,139.70
Barclays,Amazon,Swap,24/08/2018 04:31:36,40.52
BNP Paribas,Apple,Equity,16/12/2018 01:54:06,349.57
Finanz Informatik,Apple,Equity,08/08/2018 12:36:20,118.33
Deutsche Bank,Amazon,Loan,03/03/2018 21:53:55,386.85
UOB,Ford,Options,13/08/2018 15:31:02,202.62
UOB,Amazon,CDS,22/03/2018 11:13:19,520.19
Bank of America,Google,CDS,28/02/2018 16:39:01,124.72
BNP Paribas,Ford,Equity,08/07/2018 08:26:36,605.16
BNP Paribas,Walmart,CDS,16/02/2018 08:38:11,136.50
Deutsche Bank,Walmart,Options,17/07/2018 14:15:27,279.01
State Bank of India,SimCorp,Equity,18/01/2018 20:08:10,518.78
BNP Paribas,Walmart,Bond,09/08/2018 23:32:37,430.80
BNP Paribas,SimCorp,Options,01/03/2018 12:23:43,395.44
BNP Paribas,Ford,Swap,20/06/2018 12:23:39,677.44
Fannie Mae,SimCorp,Loan,17/12/2018 02:29:56,370.26
BNP Paribas,Walmart,Deposit,20/01/2018 11:55:58,131.94
Barclays,Amazon,Equity,10/03/2018 01:40:40,185.02
Bank of America,Ford,Bond,14/11/2018 13:13:36,816.50
